,date_utc,daily_count
132,2011-09-07 00:00:00+00:00,3
133,2011-09-08 00:00:00+00:00,5
134,2011-09-09 00:00:00+00:00,4
135,2011-09-10 00:00:00+00:00,0
136,2011-09-11 00:00:00+00:00,1
137,2011-09-12 00:00:00+00:00,6
138,2011-09-13 00:00:00+00:00,10
139,2011-09-14 00:00:00+00:00,9
140,2011-09-15 00:00:00+00:00,4
141,2011-09-16 00:00:00+00:00,4
142,2011-09-17 00:00:00+00:00,0
143,2011-09-18 00:00:00+00:00,0
144,2011-09-19 00:00:00+00:00,1
145,2011-09-20 00:00:00+00:00,8
146,2011-09-21 00:00:00+00:00,1
147,2011-09-22 00:00:00+00:00,3
148,2011-09-23 00:00:00+00:00,5
149,2011-09-24 00:00:00+00:00,0
150,2011-09-25 00:00:00+00:00,0
151,2011-09-26 00:00:00+00:00,4
152,2011-09-27 00:00:00+00:00,5
153,2011-09-28 00:00:00+00:00,4
154,2011-09-29 00:00:00+00:00,7
155,2011-09-30 00:00:00+00:00,0
156,2011-10-01 00:00:00+00:00,0
157,2011-10-02 00:00:00+00:00,0
158,2011-10-03 00:00:00+00:00,4
159,2011-10-04 00:00:00+00:00,5
160,2011-10-05 00:00:00+00:00,3
161,2011-10-06 00:00:00+00:00,7
162,2011-10-07 00:00:00+00:00,2
163,2011-10-08 00:00:00+00:00,0
164,2011-10-09 00:00:00+00:00,0
165,2011-10-10 00:00:00+00:00,1
166,2011-10-11 00:00:00+00:00,4
167,2011-10-12 00:00:00+00:00,8
168,2011-10-13 00:00:00+00:00,3
169,2011-10-14 00:00:00+00:00,3
170,2011-10-15 00:00:00+00:00,0
171,2011-10-16 00:00:00+00:00,0
172,2011-10-17 00:00:00+00:00,1
173,2011-10-18 00:00:00+00:00,3
174,2011-10-19 00:00:00+00:00,5
175,2011-10-20 00:00:00+00:00,7
176,2011-10-21 00:00:00+00:00,0
177,2011-10-22 00:00:00+00:00,0
178,2011-10-23 00:00:00+00:00,0
179,2011-10-24 00:00:00+00:00,2
180,2011-10-25 00:00:00+00:00,0
181,2011-10-26 00:00:00+00:00,10
182,2011-10-27 00:00:00+00:00,2
183,2011-10-28 00:00:00+00:00,1
184,2011-10-29 00:00:00+00:00,0
185,2011-10-30 00:00:00+00:00,0
186,2011-10-31 00:00:00+00:00,0
187,2011-11-01 00:00:00+00:00,2
188,2011-11-02 00:00:00+00:00,1
189,2011-11-03 00:00:00+00:00,1
190,2011-11-04 00:00:00+00:00,0
191,2011-11-05 00:00:00+00:00,1
192,2011-11-06 00:00:00+00:00,0
193,2011-11-07 00:00:00+00:00,3
194,2011-11-08 00:00:00+00:00,1
195,2011-11-09 00:00:00+00:00,3
196,2011-11-10 00:00:00+00:00,2
197,2011-11-11 00:00:00+00:00,5
198,2011-11-12 00:00:00+00:00,0
199,2011-11-13 00:00:00+00:00,1
200,2011-11-14 00:00:00+00:00,5
201,2011-11-15 00:00:00+00:00,3
202,2011-11-16 00:00:00+00:00,9
203,2011-11-17 00:00:00+00:00,1
204,2011-11-18 00:00:00+00:00,1
205,2011-11-19 00:00:00+00:00,0
206,2011-11-20 00:00:00+00:00,1
207,2011-11-21 00:00:00+00:00,9
208,2011-11-22 00:00:00+00:00,2
209,2011-11-23 00:00:00+00:00,2
210,2011-11-24 00:00:00+00:00,0
211,2011-11-25 00:00:00+00:00,3
212,2011-11-26 00:00:00+00:00,0
213,2011-11-27 00:00:00+00:00,0
214,2011-11-28 00:00:00+00:00,8
215,2011-11-29 00:00:00+00:00,1
216,2011-11-30 00:00:00+00:00,4
217,2011-12-01 00:00:00+00:00,4
218,2011-12-02 00:00:00+00:00,2
219,2011-12-03 00:00:00+00:00,1
220,2011-12-04 00:00:00+00:00,0
221,2011-12-05 00:00:00+00:00,3
222,2011-12-06 00:00:00+00:00,3
223,2011-12-07 00:00:00+00:00,0
224,2011-12-08 00:00:00+00:00,4
225,2011-12-09 00:00:00+00:00,0
226,2011-12-10 00:00:00+00:00,9
227,2011-12-11 00:00:00+00:00,0
228,2011-12-12 00:00:00+00:00,7
229,2011-12-13 00:00:00+00:00,0
230,2011-12-14 00:00:00+00:00,5
231,2011-12-15 00:00:00+00:00,6
232,2011-12-16 00:00:00+00:00,3
233,2011-12-17 00:00:00+00:00,0
234,2011-12-18 00:00:00+00:00,0
235,2011-12-19 00:00:00+00:00,3
236,2011-12-20 00:00:00+00:00,7
237,2011-12-21 00:00:00+00:00,3
238,2011-12-22 00:00:00+00:00,2
239,2011-12-23 00:00:00+00:00,0
240,2011-12-24 00:00:00+00:00,0
241,2011-12-25 00:00:00+00:00,0
242,2011-12-26 00:00:00+00:00,0
243,2011-12-27 00:00:00+00:00,2
244,2011-12-28 00:00:00+00:00,0
245,2011-12-29 00:00:00+00:00,0
246,2011-12-30 00:00:00+00:00,0
247,2011-12-31 00:00:00+00:00,0
248,2012-01-01 00:00:00+00:00,0
249,2012-01-02 00:00:00+00:00,1
250,2012-01-03 00:00:00+00:00,2
251,2012-01-04 00:00:00+00:00,4
252,2012-01-05 00:00:00+00:00,3
253,2012-01-06 00:00:00+00:00,1
254,2012-01-07 00:00:00+00:00,0
255,2012-01-08 00:00:00+00:00,0
256,2012-01-09 00:00:00+00:00,1
257,2012-01-10 00:00:00+00:00,3
258,2012-01-11 00:00:00+00:00,2
259,2012-01-12 00:00:00+00:00,1
260,2012-01-13 00:00:00+00:00,4
261,2012-01-14 00:00:00+00:00,0
262,2012-01-15 00:00:00+00:00,0
263,2012-01-16 00:00:00+00:00,0
264,2012-01-17 00:00:00+00:00,6
265,2012-01-18 00:00:00+00:00,6
266,2012-01-19 00:00:00+00:00,3
267,2012-01-20 00:00:00+00:00,0
268,2012-01-21 00:00:00+00:00,0
269,2012-01-22 00:00:00+00:00,0
270,2012-01-23 00:00:00+00:00,0
271,2012-01-24 00:00:00+00:00,1
272,2012-01-25 00:00:00+00:00,6
273,2012-01-26 00:00:00+00:00,5
274,2012-01-27 00:00:00+00:00,2
275,2012-01-28 00:00:00+00:00,0
276,2012-01-29 00:00:00+00:00,0
277,2012-01-30 00:00:00+00:00,8
278,2012-01-31 00:00:00+00:00,0
279,2012-02-01 00:00:00+00:00,8
280,2012-02-02 00:00:00+00:00,0
281,2012-02-03 00:00:00+00:00,1
282,2012-02-04 00:00:00+00:00,0
283,2012-02-05 00:00:00+00:00,1
284,2012-02-06 00:00:00+00:00,5
285,2012-02-07 00:00:00+00:00,3
286,2012-02-08 00:00:00+00:00,4
287,2012-02-09 00:00:00+00:00,10
288,2012-02-10 00:00:00+00:00,2
289,2012-02-11 00:00:00+00:00,0
290,2012-02-12 00:00:00+00:00,2
291,2012-02-13 00:00:00+00:00,10
292,2012-02-14 00:00:00+00:00,6
293,2012-02-15 00:00:00+00:00,8
294,2012-02-16 00:00:00+00:00,4
295,2012-02-17 00:00:00+00:00,2
296,2012-02-18 00:00:00+00:00,0
297,2012-02-19 00:00:00+00:00,0
298,2012-02-20 00:00:00+00:00,3
299,2012-02-21 00:00:00+00:00,1
300,2012-02-22 00:00:00+00:00,3
301,2012-02-23 00:00:00+00:00,3
302,2012-02-24 00:00:00+00:00,1
303,2012-02-25 00:00:00+00:00,0
304,2012-02-26 00:00:00+00:00,0
305,2012-02-27 00:00:00+00:00,1
306,2012-02-28 00:00:00+00:00,3
307,2012-02-29 00:00:00+00:00,7
308,2012-03-01 00:00:00+00:00,12
309,2012-03-02 00:00:00+00:00,1
310,2012-03-03 00:00:00+00:00,4
311,2012-03-04 00:00:00+00:00,5
312,2012-03-05 00:00:00+00:00,4
313,2012-03-06 00:00:00+00:00,3
314,2012-03-07 00:00:00+00:00,6
315,2012-03-08 00:00:00+00:00,1
316,2012-03-09 00:00:00+00:00,2
317,2012-03-10 00:00:00+00:00,0
318,2012-03-11 00:00:00+00:00,1
319,2012-03-12 00:00:00+00:00,4
320,2012-03-13 00:00:00+00:00,5
321,2012-03-14 00:00:00+00:00,8
322,2012-03-15 00:00:00+00:00,0
323,2012-03-16 00:00:00+00:00,5
324,2012-03-17 00:00:00+00:00,0
325,2012-03-18 00:00:00+00:00,0
326,2012-03-19 00:00:00+00:00,6
327,2012-03-20 00:00:00+00:00,4
328,2012-03-21 00:00:00+00:00,5
329,2012-03-22 00:00:00+00:00,10
330,2012-03-23 00:00:00+00:00,5
331,2012-03-24 00:00:00+00:00,0
332,2012-03-25 00:00:00+00:00,0
333,2012-03-26 00:00:00+00:00,6
334,2012-03-27 00:00:00+00:00,12
335,2012-03-28 00:00:00+00:00,8
336,2012-03-29 00:00:00+00:00,7
337,2012-03-30 00:00:00+00:00,1
338,2012-03-31 00:00:00+00:00,0
339,2012-04-01 00:00:00+00:00,0
340,2012-04-02 00:00:00+00:00,5
341,2012-04-03 00:00:00+00:00,3
342,2012-04-04 00:00:00+00:00,5
343,2012-04-05 00:00:00+00:00,1
344,2012-04-06 00:00:00+00:00,1
345,2012-04-07 00:00:00+00:00,0
346,2012-04-08 00:00:00+00:00,0
347,2012-04-09 00:00:00+00:00,0
348,2012-04-10 00:00:00+00:00,0
349,2012-04-11 00:00:00+00:00,4
350,2012-04-12 00:00:00+00:00,0
351,2012-04-13 00:00:00+00:00,3
352,2012-04-14 00:00:00+00:00,0
353,2012-04-15 00:00:00+00:00,0
354,2012-04-16 00:00:00+00:00,6
355,2012-04-17 00:00:00+00:00,6
356,2012-04-18 00:00:00+00:00,4
357,2012-04-19 00:00:00+00:00,4
358,2012-04-20 00:00:00+00:00,2
359,2012-04-21 00:00:00+00:00,0
360,2012-04-22 00:00:00+00:00,0
361,2012-04-23 00:00:00+00:00,3
362,2012-04-24 00:00:00+00:00,8
363,2012-04-25 00:00:00+00:00,14
364,2012-04-26 00:00:00+00:00,6
365,2012-04-27 00:00:00+00:00,0
366,2012-04-28 00:00:00+00:00,0
367,2012-04-29 00:00:00+00:00,0
368,2012-04-30 00:00:00+00:00,0
369,2012-05-01 00:00:00+00:00,2
370,2012-05-02 00:00:00+00:00,6
371,2012-05-03 00:00:00+00:00,2
372,2012-05-04 00:00:00+00:00,0
373,2012-05-05 00:00:00+00:00,0
374,2012-05-06 00:00:00+00:00,0
375,2012-05-07 00:00:00+00:00,0
376,2012-05-08 00:00:00+00:00,3
377,2012-05-09 00:00:00+00:00,1
378,2012-05-10 00:00:00+00:00,1
379,2012-05-11 00:00:00+00:00,1
380,2012-05-12 00:00:00+00:00,0
381,2012-05-13 00:00:00+00:00,0
382,2012-05-14 00:00:00+00:00,1
383,2012-05-15 00:00:00+00:00,2
384,2012-05-16 00:00:00+00:00,5
385,2012-05-17 00:00:00+00:00,4
386,2012-05-18 00:00:00+00:00,1
387,2012-05-19 00:00:00+00:00,0
388,2012-05-20 00:00:00+00:00,0
389,2012-05-21 00:00:00+00:00,4
390,2012-05-22 00:00:00+00:00,7
391,2012-05-23 00:00:00+00:00,3
392,2012-05-24 00:00:00+00:00,1
393,2012-05-25 00:00:00+00:00,1
394,2012-05-26 00:00:00+00:00,0
395,2012-05-27 00:00:00+00:00,0
396,2012-05-28 00:00:00+00:00,2
397,2012-05-29 00:00:00+00:00,0
398,2012-05-30 00:00:00+00:00,6
399,2012-05-31 00:00:00+00:00,8
400,2012-06-01 00:00:00+00:00,7
401,2012-06-02 00:00:00+00:00,0
402,2012-06-03 00:00:00+00:00,0
403,2012-06-04 00:00:00+00:00,5
404,2012-06-05 00:00:00+00:00,4
405,2012-06-06 00:00:00+00:00,1
406,2012-06-07 00:00:00+00:00,8
407,2012-06-08 00:00:00+00:00,0
408,2012-06-09 00:00:00+00:00,0
409,2012-06-10 00:00:00+00:00,1
410,2012-06-11 00:00:00+00:00,6
411,2012-06-12 00:00:00+00:00,3
412,2012-06-13 00:00:00+00:00,8
413,2012-06-14 00:00:00+00:00,4
414,2012-06-15 00:00:00+00:00,3
415,2012-06-16 00:00:00+00:00,0
416,2012-06-17 00:00:00+00:00,0
417,2012-06-18 00:00:00+00:00,6
418,2012-06-19 00:00:00+00:00,2
419,2012-06-20 00:00:00+00:00,7
420,2012-06-21 00:00:00+00:00,0
421,2012-06-22 00:00:00+00:00,4
422,2012-06-23 00:00:00+00:00,2
423,2012-06-24 00:00:00+00:00,0
424,2012-06-25 00:00:00+00:00,7
425,2012-06-26 00:00:00+00:00,6
426,2012-06-27 00:00:00+00:00,0
427,2012-06-28 00:00:00+00:00,3
428,2012-06-29 00:00:00+00:00,1
429,2012-06-30 00:00:00+00:00,0
430,2012-07-01 00:00:00+00:00,0
431,2012-07-02 00:00:00+00:00,2
432,2012-07-03 00:00:00+00:00,0
433,2012-07-04 00:00:00+00:00,0
434,2012-07-05 00:00:00+00:00,8
435,2012-07-06 00:00:00+00:00,1
436,2012-07-07 00:00:00+00:00,1
437,2012-07-08 00:00:00+00:00,0
438,2012-07-09 00:00:00+00:00,2
439,2012-07-10 00:00:00+00:00,2
440,2012-07-11 00:00:00+00:00,3
441,2012-07-12 00:00:00+00:00,13
442,2012-07-13 00:00:00+00:00,6
443,2012-07-14 00:00:00+00:00,2
444,2012-07-15 00:00:00+00:00,0
445,2012-07-16 00:00:00+00:00,8
446,2012-07-17 00:00:00+00:00,8
447,2012-07-18 00:00:00+00:00,8
448,2012-07-19 00:00:00+00:00,1
449,2012-07-20 00:00:00+00:00,11
450,2012-07-21 00:00:00+00:00,0
451,2012-07-22 00:00:00+00:00,0
452,2012-07-23 00:00:00+00:00,3
453,2012-07-24 00:00:00+00:00,1
454,2012-07-25 00:00:00+00:00,4
455,2012-07-26 00:00:00+00:00,7
456,2012-07-27 00:00:00+00:00,1
457,2012-07-28 00:00:00+00:00,0
458,2012-07-29 00:00:00+00:00,0
459,2012-07-30 00:00:00+00:00,2
460,2012-07-31 00:00:00+00:00,4
461,2012-08-01 00:00:00+00:00,2
462,2012-08-02 00:00:00+00:00,1
463,2012-08-03 00:00:00+00:00,5
464,2012-08-04 00:00:00+00:00,0
465,2012-08-05 00:00:00+00:00,0
466,2012-08-06 00:00:00+00:00,5
467,2012-08-07 00:00:00+00:00,6
468,2012-08-08 00:00:00+00:00,6
469,2012-08-09 00:00:00+00:00,1
470,2012-08-10 00:00:00+00:00,6
471,2012-08-11 00:00:00+00:00,0
472,2012-08-12 00:00:00+00:00,0
473,2012-08-13 00:00:00+00:00,4
474,2012-08-14 00:00:00+00:00,9
475,2012-08-15 00:00:00+00:00,12
476,2012-08-16 00:00:00+00:00,1
